,cell1,cell2
1491,tar_cell_1252,tar_cell_1252
1492,tar_cell_1253,tar_cell_1253
1493,tar_cell_1254,tar_cell_1254
1494,tar_cell_1255,tar_cell_1255
1495,tar_cell_1255,tar_cell_1327
1496,tar_cell_1256,tar_cell_1256
1497,tar_cell_1257,tar_cell_1257
1498,tar_cell_1258,tar_cell_1258
1499,tar_cell_1258,tar_cell_1903
1500,tar_cell_1259,tar_cell_1259
1501,tar_cell_1260,tar_cell_1260
1502,tar_cell_1261,tar_cell_1261
1503,tar_cell_1261,tar_cell_1076
1504,tar_cell_1262,tar_cell_1262
1505,tar_cell_1263,tar_cell_1263
1506,tar_cell_1264,tar_cell_1264
1507,tar_cell_1265,tar_cell_1265
1508,tar_cell_1266,tar_cell_1266
1509,tar_cell_1267,tar_cell_1267
1510,tar_cell_1267,tar_cell_1997
1511,tar_cell_1268,tar_cell_1268
1512,tar_cell_1268,tar_cell_1262
1513,tar_cell_1269,tar_cell_1269
1514,tar_cell_1269,tar_cell_1874
1515,tar_cell_1270,tar_cell_1270
1516,tar_cell_1271,tar_cell_1271
1517,tar_cell_1272,tar_cell_1272
1518,tar_cell_1273,tar_cell_1273
1519,tar_cell_1274,tar_cell_1274
1520,tar_cell_1274,tar_cell_1727
1521,tar_cell_1275,tar_cell_1275
1522,tar_cell_1276,tar_cell_1276
1523,tar_cell_1277,tar_cell_1277
1524,tar_cell_1278,tar_cell_1278
1525,tar_cell_1279,tar_cell_1279
1526,tar_cell_1280,tar_cell_1280
1527,tar_cell_1281,tar_cell_1281
1528,tar_cell_1281,tar_cell_1352
1529,tar_cell_1282,tar_cell_1282
1530,tar_cell_1283,tar_cell_1283
1531,tar_cell_1284,tar_cell_1284
1532,tar_cell_1285,tar_cell_1285
1533,tar_cell_1286,tar_cell_1286
1534,tar_cell_1287,tar_cell_1287
1535,tar_cell_1288,tar_cell_1288
1536,tar_cell_1289,tar_cell_1289
1537,tar_cell_1289,tar_cell_1011
1538,tar_cell_1290,tar_cell_1290
1539,tar_cell_1291,tar_cell_1291
1540,tar_cell_1291,tar_cell_1955
1541,tar_cell_1292,tar_cell_1292
1542,tar_cell_1292,tar_cell_1312
1543,tar_cell_1293,tar_cell_1293
1544,tar_cell_1294,tar_cell_1294
1545,tar_cell_1295,tar_cell_1295
1546,tar_cell_1296,tar_cell_1296
1547,tar_cell_1296,tar_cell_1526
1548,tar_cell_1297,tar_cell_1297
1549,tar_cell_1297,tar_cell_1500
1550,tar_cell_1298,tar_cell_1298
1551,tar_cell_1299,tar_cell_1299
1552,tar_cell_1300,tar_cell_1300
1553,tar_cell_1301,tar_cell_1301
1554,tar_cell_1302,tar_cell_1302
1555,tar_cell_1303,tar_cell_1303
1556,tar_cell_1304,tar_cell_1304
1557,tar_cell_1305,tar_cell_1305
1558,tar_cell_1306,tar_cell_1306
1559,tar_cell_1306,tar_cell_1910
1560,tar_cell_1307,tar_cell_1307
1561,tar_cell_1307,tar_cell_1680
1562,tar_cell_1308,tar_cell_1308
1563,tar_cell_1309,tar_cell_1309
1564,tar_cell_1310,tar_cell_1310
1565,tar_cell_1311,tar_cell_1311
1566,tar_cell_1312,tar_cell_1312
1567,tar_cell_1313,tar_cell_1313
1568,tar_cell_1314,tar_cell_1314
1569,tar_cell_1314,tar_cell_1068
1570,tar_cell_1315,tar_cell_1315
1571,tar_cell_1316,tar_cell_1316
1572,tar_cell_1316,tar_cell_1373
1573,tar_cell_1317,tar_cell_1317
1574,tar_cell_1318,tar_cell_1318
1575,tar_cell_1319,tar_cell_1319
1576,tar_cell_1320,tar_cell_1320
1577,tar_cell_1321,tar_cell_1321
1578,tar_cell_1322,tar_cell_1322
1579,tar_cell_1323,tar_cell_1323
1580,tar_cell_1323,tar_cell_1703
1581,tar_cell_1324,tar_cell_1324
1582,tar_cell_1325,tar_cell_1325
1583,tar_cell_1326,tar_cell_1326
1584,tar_cell_1326,tar_cell_1108
1585,tar_cell_1327,tar_cell_1327
1586,tar_cell_1327,tar_cell_1255
1587,tar_cell_1328,tar_cell_1328
1588,tar_cell_1328,tar_cell_1026
1589,tar_cell_1329,tar_cell_1329
1590,tar_cell_1330,tar_cell_1330
1591,tar_cell_1331,tar_cell_1331
1592,tar_cell_1332,tar_cell_1332
1593,tar_cell_1333,tar_cell_1333
1594,tar_cell_1334,tar_cell_1334
1595,tar_cell_1334,tar_cell_1148
1596,tar_cell_1335,tar_cell_1335
1597,tar_cell_1336,tar_cell_1336
1598,tar_cell_1337,tar_cell_1337
1599,tar_cell_1338,tar_cell_1338
1600,tar_cell_1338,tar_cell_1979
1601,tar_cell_1339,tar_cell_1339
1602,tar_cell_1340,tar_cell_1340
1603,tar_cell_1340,tar_cell_1735
1604,tar_cell_1341,tar_cell_1341
1605,tar_cell_1341,tar_cell_1453
1606,tar_cell_1342,tar_cell_1342
1607,tar_cell_1342,tar_cell_1523
1608,tar_cell_1343,tar_cell_1343
1609,tar_cell_1343,tar_cell_1151
1610,tar_cell_1344,tar_cell_1344
1611,tar_cell_1344,tar_cell_1210
1612,tar_cell_1345,tar_cell_1345
1613,tar_cell_1345,tar_cell_1733
1614,tar_cell_1346,tar_cell_1346
1615,tar_cell_1347,tar_cell_1347
1616,tar_cell_1348,tar_cell_1348
1617,tar_cell_1348,tar_cell_1407
1618,tar_cell_1349,tar_cell_1349
1619,tar_cell_1350,tar_cell_1350
1620,tar_cell_1351,tar_cell_1351
1621,tar_cell_1352,tar_cell_1352
1622,tar_cell_1352,tar_cell_1281
1623,tar_cell_1353,tar_cell_1353
1624,tar_cell_1354,tar_cell_1354
1625,tar_cell_1355,tar_cell_1355
1626,tar_cell_1356,tar_cell_1356
1627,tar_cell_1357,tar_cell_1357
1628,tar_cell_1358,tar_cell_1358
1629,tar_cell_1358,tar_cell_1981
1630,tar_cell_1359,tar_cell_1359
1631,tar_cell_1359,tar_cell_1757
1632,tar_cell_1360,tar_cell_1360
1633,tar_cell_1361,tar_cell_1361
1634,tar_cell_1362,tar_cell_1362
1635,tar_cell_1363,tar_cell_1363
1636,tar_cell_1364,tar_cell_1364
1637,tar_cell_1365,tar_cell_1365
1638,tar_cell_1366,tar_cell_1366
1639,tar_cell_1366,tar_cell_1003
1640,tar_cell_1367,tar_cell_1367
1641,tar_cell_1368,tar_cell_1368
1642,tar_cell_1369,tar_cell_1369
1643,tar_cell_1370,tar_cell_1370
1644,tar_cell_1371,tar_cell_1371
1645,tar_cell_1372,tar_cell_1372
1646,tar_cell_1373,tar_cell_1373
1647,tar_cell_1373,tar_cell_1316
1648,tar_cell_1374,tar_cell_1374
1649,tar_cell_1375,tar_cell_1375
1650,tar_cell_1376,tar_cell_1376
1651,tar_cell_1376,tar_cell_1483
1652,tar_cell_1377,tar_cell_1377
1653,tar_cell_1378,tar_cell_1378
1654,tar_cell_1379,tar_cell_1379
1655,tar_cell_1380,tar_cell_1380
1656,tar_cell_1381,tar_cell_1381
1657,tar_cell_1381,tar_cell_1811
1658,tar_cell_1382,tar_cell_1382
1659,tar_cell_1383,tar_cell_1383
1660,tar_cell_1384,tar_cell_1384
1661,tar_cell_1384,tar_cell_1987
1662,tar_cell_1385,tar_cell_1385
1663,tar_cell_1385,tar_cell_1309
1664,tar_cell_1386,tar_cell_1386
1665,tar_cell_1386,tar_cell_1866
1666,tar_cell_1387,tar_cell_1387
1667,tar_cell_1388,tar_cell_1388
1668,tar_cell_1389,tar_cell_1389
1669,tar_cell_1390,tar_cell_1390
1670,tar_cell_1391,tar_cell_1391
1671,tar_cell_1392,tar_cell_1392
1672,tar_cell_1393,tar_cell_1393
1673,tar_cell_1394,tar_cell_1394
1674,tar_cell_1394,tar_cell_1648
1675,tar_cell_1395,tar_cell_1395
1676,tar_cell_1396,tar_cell_1396
1677,tar_cell_1396,tar_cell_1575
1678,tar_cell_1397,tar_cell_1397
1679,tar_cell_1397,tar_cell_1591
1680,tar_cell_1398,tar_cell_1398
1681,tar_cell_1399,tar_cell_1399
1682,tar_cell_1400,tar_cell_1400
1683,tar_cell_1401,tar_cell_1401
1684,tar_cell_1402,tar_cell_1402
1685,tar_cell_1403,tar_cell_1403
1686,tar_cell_1404,tar_cell_1404
1687,tar_cell_1405,tar_cell_1405
1688,tar_cell_1406,tar_cell_1406
1689,tar_cell_1407,tar_cell_1407
1690,tar_cell_1407,tar_cell_1348
1691,tar_cell_1408,tar_cell_1408
1692,tar_cell_1409,tar_cell_1409
1693,tar_cell_1410,tar_cell_1410
1694,tar_cell_1411,tar_cell_1411
1695,tar_cell_1412,tar_cell_1412
1696,tar_cell_1413,tar_cell_1413
1697,tar_cell_1413,tar_cell_1718
1698,tar_cell_1414,tar_cell_1414
1699,tar_cell_1414,tar_cell_1938
1700,tar_cell_1415,tar_cell_1415
1701,tar_cell_1416,tar_cell_1416
1702,tar_cell_1416,tar_cell_1602
1703,tar_cell_1417,tar_cell_1417
1704,tar_cell_1418,tar_cell_1418
1705,tar_cell_1419,tar_cell_1419
1706,tar_cell_1419,tar_cell_1081
1707,tar_cell_1420,tar_cell_1420
1708,tar_cell_1421,tar_cell_1421
1709,tar_cell_1422,tar_cell_1422
1710,tar_cell_1423,tar_cell_1423
1711,tar_cell_1424,tar_cell_1424
1712,tar_cell_1425,tar_cell_1425
1713,tar_cell_1426,tar_cell_1426
1714,tar_cell_1427,tar_cell_1427
1715,tar_cell_1428,tar_cell_1428
1716,tar_cell_1429,tar_cell_1429
1717,tar_cell_1430,tar_cell_1430
1718,tar_cell_1431,tar_cell_1431
1719,tar_cell_1432,tar_cell_1432
1720,tar_cell_1433,tar_cell_1433
1721,tar_cell_1434,tar_cell_1434
1722,tar_cell_1435,tar_cell_1435
1723,tar_cell_1436,tar_cell_1436
1724,tar_cell_1437,tar_cell_1437
1725,tar_cell_1438,tar_cell_1438
1726,tar_cell_1439,tar_cell_1439
1727,tar_cell_1440,tar_cell_1440
1728,tar_cell_1441,tar_cell_1441
1729,tar_cell_1441,tar_cell_1164
1730,tar_cell_1442,tar_cell_1442
1731,tar_cell_1443,tar_cell_1443
1732,tar_cell_1443,tar_cell_1430
1733,tar_cell_1444,tar_cell_1444
1734,tar_cell_1445,tar_cell_1445
1735,tar_cell_1446,tar_cell_1446
1736,tar_cell_1446,tar_cell_1560
1737,tar_cell_1447,tar_cell_1447
1738,tar_cell_1448,tar_cell_1448
1739,tar_cell_1449,tar_cell_1449
1740,tar_cell_1450,tar_cell_1450
1741,tar_cell_1451,tar_cell_1451
1742,tar_cell_1451,tar_cell_2000
1743,tar_cell_1452,tar_cell_1452
1744,tar_cell_1453,tar_cell_1453
1745,tar_cell_1453,tar_cell_1341
1746,tar_cell_1454,tar_cell_1454
1747,tar_cell_1454,tar_cell_1693
1748,tar_cell_1455,tar_cell_1455
1749,tar_cell_1455,tar_cell_1647
1750,tar_cell_1456,tar_cell_1456
1751,tar_cell_1457,tar_cell_1457
1752,tar_cell_1457,tar_cell_1731
1753,tar_cell_1458,tar_cell_1458
1754,tar_cell_1459,tar_cell_1459
1755,tar_cell_1460,tar_cell_1460
1756,tar_cell_1461,tar_cell_1461
1757,tar_cell_1462,tar_cell_1462
1758,tar_cell_1463,tar_cell_1463
1759,tar_cell_1463,tar_cell_1758
1760,tar_cell_1464,tar_cell_1464
1761,tar_cell_1465,tar_cell_1465
1762,tar_cell_1466,tar_cell_1466
1763,tar_cell_1467,tar_cell_1467
1764,tar_cell_1468,tar_cell_1468
1765,tar_cell_1469,tar_cell_1469
1766,tar_cell_1470,tar_cell_1470
1767,tar_cell_1471,tar_cell_1471
1768,tar_cell_1472,tar_cell_1472
1769,tar_cell_1473,tar_cell_1473
1770,tar_cell_1473,tar_cell_1797
1771,tar_cell_1474,tar_cell_1474
1772,tar_cell_1475,tar_cell_1475
1773,tar_cell_1476,tar_cell_1476
1774,tar_cell_1477,tar_cell_1477
1775,tar_cell_1477,tar_cell_1353
1776,tar_cell_1478,tar_cell_1478
1777,tar_cell_1479,tar_cell_1479
1778,tar_cell_1480,tar_cell_1480
1779,tar_cell_1481,tar_cell_1481
1780,tar_cell_1482,tar_cell_1482
1781,tar_cell_1482,tar_cell_1214
1782,tar_cell_1483,tar_cell_1483
1783,tar_cell_1483,tar_cell_1376
1784,tar_cell_1484,tar_cell_1484
1785,tar_cell_1485,tar_cell_1485
1786,tar_cell_1486,tar_cell_1486
1787,tar_cell_1487,tar_cell_1487
1788,tar_cell_1488,tar_cell_1488
1789,tar_cell_1489,tar_cell_1489
1790,tar_cell_1490,tar_cell_1490
1791,tar_cell_1491,tar_cell_1491
1792,tar_cell_1492,tar_cell_1492
1793,tar_cell_1492,tar_cell_1961
1794,tar_cell_1493,tar_cell_1493
1795,tar_cell_1494,tar_cell_1494
1796,tar_cell_1495,tar_cell_1495
1797,tar_cell_1495,tar_cell_1621
1798,tar_cell_1496,tar_cell_1496
1799,tar_cell_1496,tar_cell_1760
1800,tar_cell_1497,tar_cell_1497
1801,tar_cell_1498,tar_cell_1498
1802,tar_cell_1499,tar_cell_1499
1803,tar_cell_1500,tar_cell_1500
1804,tar_cell_1500,tar_cell_1297
1805,tar_cell_1501,tar_cell_1501
1806,tar_cell_1502,tar_cell_1502
1807,tar_cell_1503,tar_cell_1503
1808,tar_cell_1503,tar_cell_1900
1809,tar_cell_1504,tar_cell_1504
1810,tar_cell_1504,tar_cell_1595
1811,tar_cell_1505,tar_cell_1505
1812,tar_cell_1506,tar_cell_1506
1813,tar_cell_1507,tar_cell_1507
1814,tar_cell_1508,tar_cell_1508
1815,tar_cell_1509,tar_cell_1509
1816,tar_cell_1510,tar_cell_1510
1817,tar_cell_1511,tar_cell_1511
1818,tar_cell_1511,tar_cell_1171
1819,tar_cell_1512,tar_cell_1512
1820,tar_cell_1512,tar_cell_1948
1821,tar_cell_1513,tar_cell_1513
1822,tar_cell_1513,tar_cell_1232
1823,tar_cell_1514,tar_cell_1514
1824,tar_cell_1515,tar_cell_1515
1825,tar_cell_1516,tar_cell_1516
1826,tar_cell_1516,tar_cell_1196
1827,tar_cell_1517,tar_cell_1517
1828,tar_cell_1518,tar_cell_1518
1829,tar_cell_1519,tar_cell_1519
1830,tar_cell_1520,tar_cell_1520
1831,tar_cell_1521,tar_cell_1521
1832,tar_cell_1522,tar_cell_1522
1833,tar_cell_1523,tar_cell_1523
1834,tar_cell_1523,tar_cell_1342
1835,tar_cell_1524,tar_cell_1524
1836,tar_cell_1525,tar_cell_1525
1837,tar_cell_1526,tar_cell_1526
1838,tar_cell_1526,tar_cell_1296
1839,tar_cell_1527,tar_cell_1527
1840,tar_cell_1528,tar_cell_1528
1841,tar_cell_1529,tar_cell_1529
1842,tar_cell_1530,tar_cell_1530
1843,tar_cell_1531,tar_cell_1531
1844,tar_cell_1531,tar_cell_1764
1845,tar_cell_1532,tar_cell_1532
1846,tar_cell_1532,tar_cell_1901
1847,tar_cell_1533,tar_cell_1533
1848,tar_cell_1534,tar_cell_1534
1849,tar_cell_1534,tar_cell_1035
1850,tar_cell_1535,tar_cell_1535
1851,tar_cell_1535,tar_cell_1886
1852,tar_cell_1536,tar_cell_1536
1853,tar_cell_1536,tar_cell_1635
1854,tar_cell_1537,tar_cell_1537
1855,tar_cell_1537,tar_cell_1781
1856,tar_cell_1538,tar_cell_1538
1857,tar_cell_1538,tar_cell_50
1858,tar_cell_1539,tar_cell_1539
1859,tar_cell_1539,tar_cell_1199
1860,tar_cell_1540,tar_cell_1540
1861,tar_cell_1540,tar_cell_1131
1862,tar_cell_1541,tar_cell_1541
1863,tar_cell_1541,tar_cell_1751
1864,tar_cell_1542,tar_cell_1542
1865,tar_cell_1543,tar_cell_1543
1866,tar_cell_1544,tar_cell_1544
1867,tar_cell_1544,tar_cell_1749
1868,tar_cell_1545,tar_cell_1545
1869,tar_cell_1546,tar_cell_1546
1870,tar_cell_1547,tar_cell_1547
1871,tar_cell_1548,tar_cell_1548
1872,tar_cell_1549,tar_cell_1549
1873,tar_cell_1550,tar_cell_1550
1874,tar_cell_1551,tar_cell_1551
1875,tar_cell_1552,tar_cell_1552
1876,tar_cell_1553,tar_cell_1553
1877,tar_cell_1554,tar_cell_1554
1878,tar_cell_1554,tar_cell_1090
1879,tar_cell_1555,tar_cell_1555
1880,tar_cell_1556,tar_cell_1556
1881,tar_cell_1557,tar_cell_1557
1882,tar_cell_1557,tar_cell_1802
1883,tar_cell_1558,tar_cell_1558
1884,tar_cell_1558,tar_cell_1578
1885,tar_cell_1559,tar_cell_1559
1886,tar_cell_1560,tar_cell_1560
1887,tar_cell_1560,tar_cell_1446
1888,tar_cell_1561,tar_cell_1561
1889,tar_cell_1561,tar_cell_1702
1890,tar_cell_1562,tar_cell_1562
1891,tar_cell_1563,tar_cell_1563
1892,tar_cell_1564,tar_cell_1564
1893,tar_cell_1565,tar_cell_1565
1894,tar_cell_1566,tar_cell_1566
1895,tar_cell_1567,tar_cell_1567
1896,tar_cell_1568,tar_cell_1568
1897,tar_cell_1569,tar_cell_1569
1898,tar_cell_1570,tar_cell_1570
1899,tar_cell_1571,tar_cell_1571
1900,tar_cell_1572,tar_cell_1572
1901,tar_cell_1572,tar_cell_1912
1902,tar_cell_1573,tar_cell_1573
1903,tar_cell_1573,tar_cell_1677
1904,tar_cell_1574,tar_cell_1574
1905,tar_cell_1575,tar_cell_1575
1906,tar_cell_1575,tar_cell_1396
1907,tar_cell_1576,tar_cell_1576
1908,tar_cell_1577,tar_cell_1577
1909,tar_cell_1578,tar_cell_1578
1910,tar_cell_1578,tar_cell_1558
1911,tar_cell_1579,tar_cell_1579
1912,tar_cell_1580,tar_cell_1580
1913,tar_cell_1580,tar_cell_1954
1914,tar_cell_1581,tar_cell_1581
1915,tar_cell_1581,tar_cell_1067
1916,tar_cell_1582,tar_cell_1582
1917,tar_cell_1582,tar_cell_1135
1918,tar_cell_1583,tar_cell_1583
1919,tar_cell_1584,tar_cell_1584
1920,tar_cell_1585,tar_cell_1585
1921,tar_cell_1586,tar_cell_1586
1922,tar_cell_1587,tar_cell_1587
1923,tar_cell_1588,tar_cell_1588
1924,tar_cell_1589,tar_cell_1589
1925,tar_cell_1590,tar_cell_1590
1926,tar_cell_1591,tar_cell_1591
1927,tar_cell_1591,tar_cell_1397
1928,tar_cell_1592,tar_cell_1592
1929,tar_cell_1593,tar_cell_1593
1930,tar_cell_1593,tar_cell_1617
1931,tar_cell_1594,tar_cell_1594
1932,tar_cell_1595,tar_cell_1595
1933,tar_cell_1595,tar_cell_1504
1934,tar_cell_1596,tar_cell_1596
1935,tar_cell_1597,tar_cell_1597
1936,tar_cell_1598,tar_cell_1598
1937,tar_cell_1599,tar_cell_1599
1938,tar_cell_1599,tar_cell_1157
1939,tar_cell_1600,tar_cell_1600
1940,tar_cell_1601,tar_cell_1601
1941,tar_cell_1602,tar_cell_1602
1942,tar_cell_1603,tar_cell_1603
1943,tar_cell_1603,tar_cell_1042
1944,tar_cell_1604,tar_cell_1604
1945,tar_cell_1605,tar_cell_1605
1946,tar_cell_1606,tar_cell_1606
1947,tar_cell_1607,tar_cell_1607
1948,tar_cell_1608,tar_cell_1608
1949,tar_cell_1608,tar_cell_769
1950,tar_cell_1609,tar_cell_1609
1951,tar_cell_1610,tar_cell_1610
1952,tar_cell_1611,tar_cell_1611
1953,tar_cell_1612,tar_cell_1612
1954,tar_cell_1612,tar_cell_1064
1955,tar_cell_1613,tar_cell_1613
1956,tar_cell_1614,tar_cell_1614
1957,tar_cell_1614,tar_cell_1668
1958,tar_cell_1615,tar_cell_1615
1959,tar_cell_1616,tar_cell_1616
1960,tar_cell_1617,tar_cell_1617
1961,tar_cell_1617,tar_cell_1593
1962,tar_cell_1618,tar_cell_1618
1963,tar_cell_1619,tar_cell_1619
1964,tar_cell_1620,tar_cell_1620
1965,tar_cell_1620,tar_cell_1880
1966,tar_cell_1621,tar_cell_1621
1967,tar_cell_1621,tar_cell_1495
1968,tar_cell_1622,tar_cell_1622
1969,tar_cell_1623,tar_cell_1623
1970,tar_cell_1623,tar_cell_1432
1971,tar_cell_1624,tar_cell_1624
1972,tar_cell_1625,tar_cell_1625
1973,tar_cell_1626,tar_cell_1626
1974,tar_cell_1627,tar_cell_1627
1975,tar_cell_1628,tar_cell_1628
1976,tar_cell_1629,tar_cell_1629
1977,tar_cell_1630,tar_cell_1630
1978,tar_cell_1630,tar_cell_1838
1979,tar_cell_1631,tar_cell_1631
1980,tar_cell_1631,tar_cell_1497
1981,tar_cell_1632,tar_cell_1632
1982,tar_cell_1632,tar_cell_1909
1983,tar_cell_1633,tar_cell_1633
1984,tar_cell_1633,tar_cell_1899
1985,tar_cell_1634,tar_cell_1634
1986,tar_cell_1634,tar_cell_1786
1987,tar_cell_1635,tar_cell_1635
1988,tar_cell_1636,tar_cell_1636
1989,tar_cell_1637,tar_cell_1637
1990,tar_cell_1638,tar_cell_1638
1991,tar_cell_1639,tar_cell_1639
1992,tar_cell_1640,tar_cell_1640
1993,tar_cell_1640,tar_cell_1275
1994,tar_cell_1641,tar_cell_1641
1995,tar_cell_1642,tar_cell_1642
1996,tar_cell_1643,tar_cell_1643
1997,tar_cell_1644,tar_cell_1644
1998,tar_cell_1644,tar_cell_1370
1999,tar_cell_1645,tar_cell_1645
2000,tar_cell_1645,tar_cell_1736
2001,tar_cell_1646,tar_cell_1646
2002,tar_cell_1646,tar_cell_1849
2003,tar_cell_1647,tar_cell_1647
2004,tar_cell_1647,tar_cell_1455
2005,tar_cell_1648,tar_cell_1648
2006,tar_cell_1648,tar_cell_1394
2007,tar_cell_1649,tar_cell_1649
2008,tar_cell_1650,tar_cell_1650
2009,tar_cell_1650,tar_cell_1382
2010,tar_cell_1651,tar_cell_1651
2011,tar_cell_1652,tar_cell_1652
2012,tar_cell_1653,tar_cell_1653
2013,tar_cell_1653,tar_cell_1072
2014,tar_cell_1654,tar_cell_1654
2015,tar_cell_1655,tar_cell_1655
2016,tar_cell_1656,tar_cell_1656
2017,tar_cell_1657,tar_cell_1657
2018,tar_cell_1658,tar_cell_1658
2019,tar_cell_1659,tar_cell_1659
2020,tar_cell_1659,tar_cell_1088
2021,tar_cell_1660,tar_cell_1660
2022,tar_cell_1661,tar_cell_1661
2023,tar_cell_1662,tar_cell_1662
2024,tar_cell_1663,tar_cell_1663
2025,tar_cell_1664,tar_cell_1664
2026,tar_cell_1665,tar_cell_1665
2027,tar_cell_1666,tar_cell_1666
2028,tar_cell_1667,tar_cell_1667
2029,tar_cell_1668,tar_cell_1668
2030,tar_cell_1668,tar_cell_1614
2031,tar_cell_1669,tar_cell_1669
2032,tar_cell_1670,tar_cell_1670
2033,tar_cell_1670,tar_cell_1037
2034,tar_cell_1671,tar_cell_1671
2035,tar_cell_1672,tar_cell_1672
2036,tar_cell_1673,tar_cell_1673
2037,tar_cell_1674,tar_cell_1674
2038,tar_cell_1675,tar_cell_1675
2039,tar_cell_1676,tar_cell_1676
2040,tar_cell_1677,tar_cell_1677
2041,tar_cell_1677,tar_cell_1573
2042,tar_cell_1678,tar_cell_1678
2043,tar_cell_1679,tar_cell_1679
2044,tar_cell_1680,tar_cell_1680
2045,tar_cell_1680,tar_cell_1307
2046,tar_cell_1681,tar_cell_1681
2047,tar_cell_1682,tar_cell_1682
2048,tar_cell_1683,tar_cell_1683
2049,tar_cell_1684,tar_cell_1684
2050,tar_cell_1685,tar_cell_1685
2051,tar_cell_1686,tar_cell_1686
2052,tar_cell_1687,tar_cell_1687
2053,tar_cell_1688,tar_cell_1688
2054,tar_cell_1689,tar_cell_1689
2055,tar_cell_1689,tar_cell_1279
2056,tar_cell_1690,tar_cell_1690
2057,tar_cell_1691,tar_cell_1691
2058,tar_cell_1691,tar_cell_1893
2059,tar_cell_1692,tar_cell_1692
2060,tar_cell_1692,tar_cell_1696
2061,tar_cell_1693,tar_cell_1693
2062,tar_cell_1693,tar_cell_1454
2063,tar_cell_1694,tar_cell_1694
2064,tar_cell_1695,tar_cell_1695
2065,tar_cell_1696,tar_cell_1696
2066,tar_cell_1696,tar_cell_1692
2067,tar_cell_1697,tar_cell_1697
2068,tar_cell_1698,tar_cell_1698
2069,tar_cell_1699,tar_cell_1699
2070,tar_cell_1699,tar_cell_1662
2071,tar_cell_1700,tar_cell_1700
2072,tar_cell_1701,tar_cell_1701
2073,tar_cell_1701,tar_cell_1794
2074,tar_cell_1702,tar_cell_1702
2075,tar_cell_1703,tar_cell_1703
2076,tar_cell_1703,tar_cell_1323
2077,tar_cell_1704,tar_cell_1704
2078,tar_cell_1705,tar_cell_1705
2079,tar_cell_1705,tar_cell_1014
2080,tar_cell_1706,tar_cell_1706
2081,tar_cell_1707,tar_cell_1707
2082,tar_cell_1708,tar_cell_1708
2083,tar_cell_1709,tar_cell_1709
2084,tar_cell_1710,tar_cell_1710
2085,tar_cell_1711,tar_cell_1711
2086,tar_cell_1712,tar_cell_1712
2087,tar_cell_1713,tar_cell_1713
2088,tar_cell_1714,tar_cell_1714
2089,tar_cell_1715,tar_cell_1715
2090,tar_cell_1716,tar_cell_1716
2091,tar_cell_1717,tar_cell_1717
2092,tar_cell_1718,tar_cell_1718
2093,tar_cell_1719,tar_cell_1719
2094,tar_cell_1719,tar_cell_1767
2095,tar_cell_1720,tar_cell_1720
2096,tar_cell_1721,tar_cell_1721
2097,tar_cell_1721,tar_cell_1766
2098,tar_cell_1722,tar_cell_1722
2099,tar_cell_1723,tar_cell_1723
2100,tar_cell_1724,tar_cell_1724
2101,tar_cell_1725,tar_cell_1725
2102,tar_cell_1726,tar_cell_1726
2103,tar_cell_1726,tar_cell_1991
2104,tar_cell_1727,tar_cell_1727
2105,tar_cell_1728,tar_cell_1728
2106,tar_cell_1729,tar_cell_1729
2107,tar_cell_1730,tar_cell_1730
2108,tar_cell_1731,tar_cell_1731
2109,tar_cell_1731,tar_cell_1457
2110,tar_cell_1732,tar_cell_1732
2111,tar_cell_1733,tar_cell_1733
2112,tar_cell_1733,tar_cell_1345
2113,tar_cell_1734,tar_cell_1734
2114,tar_cell_1735,tar_cell_1735
2115,tar_cell_1735,tar_cell_1340
2116,tar_cell_1736,tar_cell_1736
2117,tar_cell_1736,tar_cell_1645
2118,tar_cell_1737,tar_cell_1737
2119,tar_cell_1738,tar_cell_1738
2120,tar_cell_1739,tar_cell_1739
2121,tar_cell_1740,tar_cell_1740
2122,tar_cell_1741,tar_cell_1741
2123,tar_cell_1742,tar_cell_1742
2124,tar_cell_1743,tar_cell_1743
2125,tar_cell_1744,tar_cell_1744
2126,tar_cell_1745,tar_cell_1745
2127,tar_cell_1746,tar_cell_1746
2128,tar_cell_1747,tar_cell_1747
2129,tar_cell_1748,tar_cell_1748
2130,tar_cell_1748,tar_cell_1049
2131,tar_cell_1749,tar_cell_1749
2132,tar_cell_1749,tar_cell_1544
2133,tar_cell_1750,tar_cell_1750
2134,tar_cell_1751,tar_cell_1751
2135,tar_cell_1751,tar_cell_1541
2136,tar_cell_1752,tar_cell_1752
2137,tar_cell_1753,tar_cell_1753
2138,tar_cell_1754,tar_cell_1754
2139,tar_cell_1755,tar_cell_1755
2140,tar_cell_1756,tar_cell_1756
2141,tar_cell_1757,tar_cell_1757
2142,tar_cell_1757,tar_cell_1359
2143,tar_cell_1758,tar_cell_1758
2144,tar_cell_1759,tar_cell_1759
2145,tar_cell_1759,tar_cell_1198
2146,tar_cell_1760,tar_cell_1760
2147,tar_cell_1760,tar_cell_1496
2148,tar_cell_1761,tar_cell_1761
2149,tar_cell_1762,tar_cell_1762
2150,tar_cell_1763,tar_cell_1763
2151,tar_cell_1763,tar_cell_1799
2152,tar_cell_1764,tar_cell_1764
2153,tar_cell_1764,tar_cell_1531
2154,tar_cell_1765,tar_cell_1765
2155,tar_cell_1766,tar_cell_1766
2156,tar_cell_1766,tar_cell_1721
